path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\06 - Benefits of Multithreading Apps and OS.srt.res ,0.022222222,0.275806452,0,40,0,43.01075269,38.22,61.78,15.29,84.71
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\07 - Process vs Threads Quiz.srt.res ,0.037267081,0.174532502,0,0,0,0,27.05,72.95,20.7,79.3
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\08 - Process vs Threads Quiz.srt.res ,0.121308859,0.033594625,0,0,0,0,15.65,84.35,7.82,92.18
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\09 - Basic Thread Mechanisms.srt.res ,0.005254269,0.093979442,2,0,0.274348422,0,2.91,97.09,2.42,97.58
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\10 - Thread Creation.srt.res ,0.006256109,0.0477713,1,39,0.129701686,5.058365759,3.37,96.63,1.73,98.27
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\11 - Thread Creation Example.srt.res ,0.027110767,0.036049027,1,23,0.285714286,6.571428571,7.11,92.89,2.63,97.37
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\12 - Mutexes.srt.res ,0.007092199,0.127922078,2,18,0.452488688,4.07239819,3.64,96.36,2.33,97.67
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\13 - Mutual Exclusion.srt.res ,0.006132618,0.134625551,2,29,0.238095238,3.452380952,3.58,96.42,1.88,98.12
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\14 - Mutex Example.srt.res ,0.033547114,0.06640625,6,8,2.666666667,3.555555556,6.23,93.77,4.4,95.6
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\15 - Mutex Quiz.srt.res ,0.073662265,0.086956522,2,18,1.438848921,12.94964029,25.13,74.87,29.47,70.53
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\16 - Mutex Quiz.srt.res ,0.038573933,0.06400665,0,33,0,10.71428571,6.65,93.35,8.81,91.19
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\17 - Producer and Consumer Example.srt.res ,0.015930485,0.023323615,1,11,0.285714286,3.142857143,2.92,97.08,2.92,97.08
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\18 - Condition Variables.srt.res ,0.008962427,0.022207268,4,1,1.033591731,0.258397933,0.31,99.69,10.27,89.73
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\19 - Condition Variable API.srt.res ,0.090336912,0.031297944,0,16,0,3.571428571,6.08,93.92,3.48,96.52
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\20 - Condition Variable Quiz.srt.res ,0.033103448,0.175,1,2,1.694915254,3.389830508,24.41,75.59,24.15,75.85
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\21 - Condition Variable Quiz.srt.res ,0.105201636,0.033722438,10,7,3.663003663,2.564102564,4.39,95.61,8.6,91.4
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\22 - ReaderWriter Problem.srt.res ,0.004317111,0.00273224,0,4,0,0.527704485,3.41,96.59,2.73,97.27
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\23 - Readers and Writer Example Part 1.srt.res ,0.003662165,0.007808911,2,18,0.304878049,2.743902439,6.36,93.64,5.67,94.33
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\24 - Readers and Writer Example Part 2.srt.res ,0.004401132,0.004034582,0,10,0,2.207505519,5.43,94.57,4.91,95.09
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\25 - Readers and Writer Example Part 3.srt.res ,0.002843332,0.157419355,2,11,0.372439479,2.048417132,5.64,94.36,2.65,97.35
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\26 - Critical Section Structure.srt.res ,0.006343836,0.006361323,5,23,0.711237553,3.271692745,0.15,99.85,5.93,94.07
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\27 - Critical Section Structure with Proxy.srt.res ,0.004301075,0.061045403,0,11,0,3.363914373,3.19,96.81,8.16,91.84
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\28 - Common Pitfalls.srt.res ,0.008163265,0.026293469,2,58,0.3125,9.0625,1.8,98.2,1.47,98.53
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\29 - Spurious Wake Ups.srt.res ,0.007917308,0.008735532,2,34,0.329489292,5.601317957,1.63,98.37,2.29,97.71
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\30 - Deadlocks Introduction.srt.res ,0.012912482,0.067085954,0,12,0,5.911330049,14.4,85.6,13.2,86.8
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\31 - Deadlocks.srt.res ,0.001917546,0.010484928,2,33,0.275103164,4.539202201,5.86,94.14,2.22,97.78
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\32 - Deadlocks Summary.srt.res ,0.005712654,0.003239741,0,1,0,0.196463654,5.96,94.04,5.76,94.24
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\33 - Critical Section Quiz.srt.res ,0.0157199,0.044336682,0,53,0,15.18624642,3.49,96.51,6.5,93.5
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\34 - Critical Section Quiz.srt.res ,0.003332223,0.026793689,2,10,0.453514739,2.267573696,6.14,93.86,3.26,96.74
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\35 - Kernel vs User-Level Threads.srt.res ,0.161311475,0.174538911,19,6,8.189655172,2.586206897,6.77,93.23,8.72,91.28
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\36 - Multithreading Models.srt.res ,0.010248681,0.120236337,0,7,0,0.729166667,3.68,96.32,2.13,97.87
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\37 - Scope of Multithreading.srt.res ,0.06470807,0.046979866,0,17,0,4.009433962,5.04,94.96,1.17,98.83
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\38 - Multithreading Patterns.srt.res ,0.105362183,0.101917808,0,20,0,12.19512195,15.57,84.43,10.62,89.38
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\39 - BossWorkers Pattern.srt.res ,0.041127542,0.061532274,0,51,0,6.64928292,2.3,97.7,2.85,97.15
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\40 - How Many Workers.srt.res ,0.014047867,0.066787471,1,1,0.179856115,0.179856115,1.64,98.36,3.09,96.91
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\41 - BossWorkers Variants.srt.res ,0.019621584,0.077370763,3,21,0.775193798,5.426356589,5.36,94.64,5.46,94.54
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\42 - Pipeline Pattern.srt.res ,0.025434506,0.012269939,9,14,1.12640801,1.752190238,1.01,98.99,2.15,97.85
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\43 - Layered Pattern.srt.res ,0.020282187,0.066780822,14,30,4.946996466,10.60070671,7.03,92.97,6.59,93.41
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\44 - Multithreading Patterns Quiz.srt.res ,0.015089959,0.072144289,0,31,0,15.19607843,11.14,88.86,9.16,90.84
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\45 - Multithreading Patterns Quiz.srt.res ,0.042335766,0.04408303,0,23,0,3.527607362,3.59,96.41,1.55,98.45
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P2L2_ Threads and Concurrency\46 - Lesson Summary.srt.res ,0.007386888,0.139093783,1,1,1.388888889,1.388888889,34.27,65.73,19.96,80.04
